broker,トレーダー名,口座タイプ,口座通貨,キャンペーン,発注時間,決済時間,取引カテゴリ,取引タイプ,金融商品,銘柄グループ,ロット数,合計報酬,アフィリエイト報酬
XM,U001,Standard,USD,,2026-02-27T15:38:00,2026-02-27T15:37:00,FX,BUY,AUDUSD,FX Majors,8.61,72.95,22.22
XM,U002,Standard,USD,,2026-02-27T10:56:00,2026-02-27T13:14:00,FX,BUY,EURJPY,FX Majors,3.45,28.58,9.56
XM,U002,Standard,USD,,2026-02-27T12:56:00,2026-02-27T15:30:00,FX,BUY,USDJPY,FX Majors,9.54,77.63,24.06
XM,U002,Standard,USD,,2026-02-27T09:51:00,2026-02-27T17:28:00,FX,BUY,GBPUSD,FX Majors,6.76,56.55,17.45
XM,U003,Standard,USD,,2026-02-27T10:15:00,2026-02-27T16:37:00,FX,BUY,USDJPY,FX Majors,0.79,7.28,2.79
XM,U003,Standard,USD,,2026-02-27T14:42:00,2026-02-27T13:30:00,FX,BUY,EURJPY,FX Majors,4.88,42.25,14.60
XM,U003,Standard,USD,,2026-02-27T12:04:00,2026-02-27T12:04:00,FX,BUY,EURUSD,FX Majors,2.27,19.59,7.53
XM,U004,Standard,USD,,2026-02-27T09:37:00,2026-02-27T17:23:00,FX,BUY,EURJPY,FX Majors,7.75,62.73,19.89
XM,U004,Standard,USD,,2026-02-27T15:23:00,2026-02-27T14:32:00,FX,BUY,GBPUSD,FX Majors,1.91,15.86,6.66
XM,U005,Standard,USD,,2026-02-27T10:39:00,2026-02-27T12:47:00,FX,BUY,EURUSD,FX Majors,9.98,84.03,26.76
